customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Devonte' GrahamNOP,21.2,0.309,0.082,0.07,0.055,0.102,0.691,1,0.13
Jerami GrantDET,15.2,0.637,0.202,0.149,0.106,0.18,0.363,29,0.358
Hassani GravettORL,20.9,0.316,0.079,0.105,0.079,0.053,0.684,0,0.192
Danny GreenPHI,21.8,0.153,0.069,0.047,0.019,0.019,0.847,1,0.487
Draymond GreenGSW,9.8,0.79,0.315,0.377,0.058,0.039,0.21,21,0.222
Jalen GreenHOU,15.7,0.52,0.271,0.129,0.031,0.088,0.48,69,0.146
JaMychal GreenDEN,12.1,0.621,0.391,0.156,0.034,0.04,0.379,61,0.306
Javonte GreenCHI,9.1,0.689,0.535,0.123,0.031,0,0.311,58,0.594
Jeff GreenDEN,11.3,0.682,0.342,0.233,0.078,0.03,0.318,74,0.548
Josh GreenDAL,11.1,0.695,0.328,0.227,0.098,0.043,0.305,20,0.679
Blake GriffinBRK,13.5,0.537,0.339,0.15,0.035,0.013,0.463,13,0.262
Quentin GrimesNYK,22.1,0.196,0.089,0.017,0.021,0.068,0.804,3,0.249
Kyle GuyMIA,18.7,0.385,0.108,0.169,0.031,0.077,0.615,0,0.225
Rui HachimuraWAS,14.7,0.677,0.197,0.15,0.16,0.171,0.323,22,0.285
Tyrese HaliburtonTOT,16.7,0.572,0.13,0.183,0.158,0.101,0.428,25,0.139
Tyrese HaliburtonSAC,16.8,0.57,0.118,0.183,0.164,0.106,0.43,12,0.147
Tyrese HaliburtonIND,16.6,0.576,0.152,0.183,0.149,0.093,0.424,13,0.124
Tyler HallNYK,,,,,,,,0,
R.J. HamptonORL,13.7,0.6,0.217,0.304,0.044,0.035,0.4,9,0.197
Tim Hardaway Jr.DAL,19.6,0.426,0.094,0.092,0.098,0.142,0.574,15,0.194
James HardenTOT,14.6,0.548,0.231,0.232,0.061,0.024,0.452,6,0.049
James HardenBRK,14.2,0.565,0.239,0.242,0.061,0.023,0.435,6,0.052
James HardenPHI,15.6,0.507,0.21,0.206,0.063,0.028,0.493,0,0.043
Maurice HarklessSAC,15,0.442,0.265,0.155,0.006,0.017,0.558,17,0.604
Jared HarperNOP,16.8,0.538,0.192,0.115,0.077,0.154,0.462,1,0.083
Montrezl HarrellTOT,4.8,0.969,0.582,0.274,0.079,0.034,0.031,150,0.118
Montrezl HarrellWAS,5.5,0.961,0.517,0.319,0.089,0.037,0.039,101,0.133
Montrezl HarrellCHO,3.3,0.988,0.727,0.174,0.058,0.029,0.012,49,0
Gary HarrisORL,17.2,0.454,0.145,0.152,0.051,0.107,0.546,7,0.464
Joe HarrisBRK,19.6,0.29,0.113,0.105,0.048,0.024,0.71,0,0.307
Tobias HarrisPHI,11.7,0.731,0.25,0.282,0.156,0.043,0.269,43,0.262
Shaquille HarrisonBRK,9.5,0.667,0.5,0.167,0,0,0.333,0,1
Josh HartTOT,12.4,0.626,0.399,0.134,0.06,0.033,0.374,19,0.169
Josh HartNOP,11.4,0.663,0.44,0.137,0.052,0.034,0.337,14,0.208
Josh HartPOR,14.5,0.546,0.311,0.126,0.077,0.033,0.454,5,0.108
Isaiah HartensteinLAC,5.9,0.918,0.456,0.369,0.093,0,0.082,66,0.2
Udonis HaslemMIA,9.4,0.871,0.419,0.161,0.194,0.097,0.129,0,0.75
Sam HauserBOS,22.7,0.12,0.1,0.02,0,0,0.88,0,0.318
Jaxson HayesNOP,6.6,0.857,0.54,0.259,0.04,0.018,0.143,105,0.316
Killian HayesDET,14.3,0.636,0.163,0.253,0.135,0.085,0.364,13,0.359
Gordon HaywardCHO,14.4,0.643,0.214,0.173,0.157,0.099,0.357,19,0.205
Aaron HenryPHI,12,0.8,0.2,0.2,0.4,0,0.2,0,0
Juancho HernangómezTOT,17.2,0.349,0.217,0.123,0.009,0,0.651,5,0.362
Juancho HernangómezBOS,18.6,0.333,0.148,0.148,0.037,0,0.667,0,0.167
Juancho HernangómezSAS,13.8,0.5,0.333,0.167,0,0,0.5,0,0.333
Juancho HernangómezUTA,17,0.342,0.233,0.11,0,0,0.658,5,0.438
Willy HernangómezNOP,4.2,0.963,0.563,0.352,0.043,0.006,0.037,30,0.083
Tyler HerroMIA,16,0.609,0.137,0.193,0.156,0.123,0.391,14,0.207
Buddy HieldTOT,19.7,0.348,0.132,0.083,0.069,0.064,0.652,7,0.154
Buddy HieldSAC,20.8,0.286,0.114,0.063,0.052,0.056,0.714,4,0.131
Buddy HieldIND,17.7,0.454,0.163,0.116,0.099,0.077,0.546,3,0.204
